Time [s],Channel 0
4.104454083,1
4.114427208,0
4.114437083,1
4.124411083,0
4.124420958,1
4.134395250,0
4.134405125,1
4.144379792,0
4.144389667,1
4.154364250,0
4.154374125,1
4.164348958,0
4.164358833,1
4.174333000,0
4.174342875,1
4.184316708,0
4.184326583,1
4.194300708,0
4.194310583,1
4.204284125,0
4.204294000,1
4.214269167,0
4.214279042,1
4.224254208,0
4.224264083,1
4.234238500,0
4.234248375,1
4.244221000,0
4.244230875,1
4.254204250,0
4.254214125,1
4.264187208,0
4.264197083,1
4.274171208,0
4.274181083,1
4.284155583,0
4.284165458,1
4.294140125,0
4.294150000,1
4.304124458,0
4.304134333,1
4.314108292,0
4.314118167,1
4.324091250,0
4.324101083,1
4.334074542,0
4.334084417,1
4.344057875,0
4.344067708,1
4.354040875,0
4.354050750,1
4.364024667,0
4.364034500,1
4.374008042,0
4.374017917,1
4.383990583,0
4.384000458,1
4.393974375,0
4.393984250,1
4.403958167,0
4.403968042,1
4.413941500,0
4.413951375,1
4.423925292,0
4.423935167,1
4.433909125,0
4.433918958,1
4.443892875,0
4.443902750,1
4.453878167,0
4.453888042,1
4.463861875,0
4.463871750,1
4.473844875,0
4.473854750,1
4.483828083,0
4.483837917,1
4.493811125,0
4.493821000,1
4.503794750,0
4.503804583,1
4.513778500,0
4.513788375,1
4.523761875,0
4.523771750,1
4.533746292,0
4.533756167,1
4.543730375,0
4.543740250,1
4.553714292,0
4.553724167,1
4.563697167,0
4.563707042,1
4.573681708,0
4.573691583,1
4.583666458,0
4.583676333,1
4.593649208,0
4.593659083,1
4.603631667,0
4.603641542,1
4.613615167,0
4.613625042,1
4.623599000,0
4.623608875,1
4.633583292,0
4.633593167,1
4.643566833,0
4.643576708,1
4.653551333,0
4.653561167,1
4.663535417,0
4.663545292,1
4.673519625,0
4.673529500,1
4.683504583,0
4.683514458,1
5.303671375,0
5.303681375,1
5.313656875,0
5.313666750,1
5.323642000,0
5.323651875,1
5.333627625,0
5.333637500,1
5.343611917,0
5.343621792,1
5.353597625,0
5.353607500,1
5.363581333,0
5.363591208,1
5.373566000,0
5.373575875,1
5.383551375,0
5.383561250,1
5.393536708,0
5.393546583,1
5.403521667,0
5.403531542,1
5.413506458,0
5.413516333,1
5.423491083,0
5.423500958,1
5.433476375,0
5.433486250,1
5.443461125,0
5.443471000,1
5.453446000,0
5.453455875,1
5.463431042,0
5.463440917,1
5.473415458,0
5.473425333,1
5.483400667,0
5.483410500,1
5.493384417,0
5.493394292,1
5.503367875,0
5.503377750,1
5.513350417,0
5.513360292,1
5.523333375,0
5.523343250,1
5.533317000,0
5.533326875,1
5.543300542,0
5.543310417,1
5.553284667,0
5.553294542,1
5.563269250,0
5.563279083,1
5.573252292,0
5.573262167,1
5.583236667,0
5.583246542,1
5.593222375,0
5.593232250,1
5.603206542,0
5.603216417,1
5.613189583,0
5.613199458,1
5.623173250,0
5.623183125,1
5.633157167,0
5.633167042,1
5.643140875,0
5.643150750,1
5.653124167,0
5.653134000,1
5.663106375,0
5.663116250,1
5.673089667,0
5.673099542,1
5.683073208,0
5.683083083,1
5.693055917,0
5.693065792,1
5.703039292,0
5.703049167,1
5.713022458,0
5.713032292,1
5.723004292,0
5.723014125,1
5.732986292,0
5.732996167,1
5.742969000,0
5.742978875,1
5.752951750,0
5.752961625,1
5.762934417,0
5.762944292,1
5.772917375,0
5.772927208,1
5.782900292,0
5.782910167,1
5.792883083,0
5.792892958,1
5.802866958,0
5.802876833,1
5.812851750,0
5.812861583,1
5.822836375,0
5.822846250,1
5.832820208,0
5.832830042,1
5.842803417,0
5.842813292,1
5.852786500,0
5.852796375,1
5.862770542,0
5.862780417,1
5.872754167,0
5.872764042,1
5.882736250,0
5.882746125,1
5.892718708,0
5.892728583,1
5.902702708,0
5.902712583,1
5.912685750,0
5.912695625,1
5.922669708,0
5.922679583,1
5.932653083,0
5.932662958,1
5.942636750,0
5.942646625,1
5.952620083,0
5.952629958,1
5.962603458,0
5.962613292,1
5.972585292,0
5.972595167,1
5.982568042,0
5.982577917,1
5.992551042,0
5.992560917,1
6.002533625,0
6.002543500,1
