Time (s),Channel 1 (V)
1.48974228,-0.001143456530597758
1.49023056,-0.0008095127087391468
1.49071884,-0.001143456530597758
1.49120712,-0.0008095127087391468
1.4916954,-0.001143456530597758
1.49218368,-0.0008095127087391468
1.49267196,-0.0008095127087391468
1.49316024,-0.0008095127087391468
1.49364852,-0.0008095127087391468
1.4941368,-0.0008095127087391468
1.49462508,-0.0008095127087391468
1.49511336,-0.001143456530597758
1.49560164,-0.001143456530597758
1.49608992,-0.0008095127087391468
1.4965782,-0.001143456530597758
1.49706648,-0.001143456530597758
1.49755476,-0.0008095127087391468
1.49804304,-0.001143456530597758
1.49853132,-0.0008095127087391468
1.4990196,-0.0008095127087391468
1.49950788,-0.001143456530597758
1.49999616,-0.001143456530597758
1.50048444,-0.0008095127087391468
1.50097272,-0.0008095127087391468
1.501461,-0.0008095127087391468
1.50194928,-0.001143456530597758
1.50243756,-0.001143456530597758
1.50292584,-0.001143456530597758
1.50341412,-0.001143456530597758
1.5039024,-0.001143456530597758
1.50439068,-0.001143456530597758
1.50487896,-0.001143456530597758
1.50536724,-0.001143456530597758
1.50585552,-0.001143456530597758
1.5063438,-0.001143456530597758
1.50683208,-0.0008095127087391468
1.50732036,-0.001143456530597758
1.50780864,-0.001143456530597758
1.50829692,-0.001143456530597758
1.5087852,-0.001143456530597758
1.50927348,-0.001143456530597758
1.50976176,-0.0008095127087391468
1.51025004,-0.0008095127087391468
1.51073832,-0.001143456530597758
1.5112266,-0.001143456530597758
1.51171488,-0.001143456530597758
1.51220316,-0.0008095127087391468
1.51269144,-0.0008095127087391468
1.51317972,-0.0008095127087391468
1.513668,-0.001143456530597758
1.51415628,-0.001143456530597758
1.51464456,-0.001143456530597758
1.51513284,-0.001143456530597758
1.51562112,-0.001143456530597758
1.5161094,-0.0008095127087391468
1.51659768,-0.001143456530597758
1.51708596,-0.001143456530597758
1.51757424,-0.001143456530597758
1.51806252,-0.001143456530597758
1.5185508,-0.001143456530597758
1.51903908,-0.001143456530597758
1.51952736,-0.001143456530597758
1.52001564,-0.001143456530597758
1.52050392,-0.001143456530597758
1.5209922,-0.0008095127087391468
1.52148048,-0.001143456530597758
1.52196876,-0.001143456530597758
1.52245704,-0.001143456530597758
1.52294532,-0.001143456530597758
1.5234336,-0.001143456530597758
1.52392188,-0.001143456530597758
1.52441016,-0.001143456530597758
1.52489844,-0.001143456530597758
1.52538672,-0.001143456530597758
